address,transfers,lp,stake,total amount,day average total amount,allocated_amount
0x9d00774E6f6a224008862Ab3D756c6aE5c742E05,94698706470121570304,0,0,94698706470121570304,223874010567663286.7706855792,168548527367185014
0x84D036Ac4A0eC91eb29b12e7618D0D0bDE661112,23265369756103970816,0,0,23265369756103970816,55000874127905368.35933806147,41408631196895952
0x912A791983F173D19740eC8DFA2a493151F25731,98833348105128869888,0,0,98833348105128869888,233648577080682907.5366430260,175907527133368788
0xB02279F5D6F34851634Aa48ffa4d6d127c0b6998,23211629168822181888,0,0,23211629168822181888,54873827822274661.67375886525,41312981560445522
0x7B94F0270c1F9B82d74dc9c49b727C5dd6293Cb6,9276044877718454272,0,0,9276044877718454272,21929184108081452.17966903073,16509873917070391
0xf2f563220b844d5aa0E3F36ffF64C11905f1Efe4,49254922587283984,0,0,49254922587283984,116441897369465.6832151300236,87665871870073
0xF103091B003101974211BC0b2ada02B59Fc98b3f,2114726695689344516096,0,0,2114726695689344516096,4999353890518544955.309692671,3763874752132658623
0x558ddE8fe579e986527C6547C71c04aE547a16B0,4000000000000000000,0,0,4000000000000000000,9456264775413711.583924349882,7119359224631598
0xCcddE0602891135C979a0426471B7D4EBFf397A2,80506214456027940651008,29685442759967272599552,0,110191657215995213250560,330678723347429044562.9125295,248958830507146223178
0x90D0C63F1ca29777b6Ab664DfEf29599fF1738EF,632881500474773340160,335209319402883973120,0,968090819877657313280,3081087799717591693.617021277,2319665467262642242
0xBD68dEE22C7EFFb1F4bB25217A06b876B10B4052,308614199136721633280,106304730936395399168,48002368631965425664,462921298705082458112,1461883641366741018.964742610,1100611608778372392
0x0224124E048B267462f902fE1614233800a43143,1847368290274538946560,252153315418412023808,1107564123740155412480,3207085729433106382848,10858865054287110808.66700601,8175338035613159509
0xa2E25745177E07Eed5FBe452A4aff84deEe185da,70203576014171021312,0,0,70203576014171021312,165965900742721090.5721040189,124951119124653525
0x92fd6D7c69F85C728Dd64FAb29E6de28f1e9A1c1,9747771546174106894336,0,4884204543364470669312,14631976089538577563648,46413776906733170835.28679855,34943644094027313979
0x0859c84b2759a8A94178cf6BFDfa795489E8BC3B,728575102754428026880,0,0,728575102754428026880,1722399770105030796.406619385,1296746969657913012
0x12DD9f8e8bFBB843741B1Da3cCE1Cb961b839680,1096987136499960905728,0,822740352374970646528,1919727488874931552256,6529906914419722564.712025066,4916185632622139437
0x746f2d6F060F7c41dcb3942C1C4888EFb433a735,8032158799999999672320,0,4016079399999999836160,12048238199999999508480,38204245991833224317.19841189,28762916181157067240
0x56e867aE231611C89E8C885007fAAB8aD1feA991,1000000000000000,0,0,1000000000000000,2364066193853.427895981087470,1779839806157
0xDd942254826C63E9B45748228DB7DfF54263Cd2B,1143101014023243431936,0,0,1143101014023243431936,2702366463411923006.940898345,2034536687218028140
0x43591432Ea674086B374189713E034E63E3fb3Bc,3342833990703793045504,0,0,3342833990703793045504,7902680829086981195.044917258,5949709002032277196
0x6C850406C143e997D95B7a93cCECEb6b1354EF28,14138781630698893312,0,9425854420465928192,23564636051164821504,78524797591516014.87918377504,59119140101597928
0x2F138a87bA65E4B7C81c8AC0a7Be1bc9976BcE09,315764792197489754112,0,0,315764792197489754112,746488870443238189.3900709220,562010746536269633
0xf95705a0fE0eCF71276340CFC377D1269cC9a337,44554579896416468992,0,0,44554579896416468992,105329976114459737.5697399527,79300014846284541
0x7e6D099CC698032d643Ee7DaAec191366e4F041E,160253898912127352832,0,26354550740879998976,186608449653007351808,504949153755096952.8288031491,380162199466225440
0x9757636F68AB031dd892915cfd222E4F1DDd3782,825710211081606266880,0,307238433719996579840,1132948644801602846720,3422073948664859830.672231837,2576384472349207204
0x14583Ba17F7bc77c262cC5ABDC63fb82497bbb99,153883646843918888206336,0,59060323755227506278400,212943970599146394484736,646376408416078848856.8487110,486638853197712469288
0x6a1F9b6e805fBa097D122D86fAf80Ae3300F9662,5451384795564050743296,0,0,5451384795564050743296,12887434504879552584.62411348,9702591657828841586
0x70c54CaA3785241759CA74D9005905CAA78adBD2,111504609694228054016,0,0,111504609694228054016,263604278236945754.1749408983,198460342903887119
0xF05e2F6359c6AEdaE651159771b109B55acc2eC1,14957047345656475648,0,0,14957047345656475648,35359449989731620.91725768322,26621148248387749
0x9fe6aC8c8eF1aFf693E095e480Ff8cE1921ddf5f,103079600000000000000,0,0,103079600000000000000,243686997635933806.1465721040,183465175282833834
0xed3646D7dadb599F38F4Cf587bD161CFDc3C379F,1480904615917096534016,703902370803662323712,0,2184806986720758857728,6829100135991539436.028368794,5141439902942776685
0x741FBFf1841F2041D72543403887154e69fFB06c,490544207508769931264,0,233893924296848998400,724438131805618929664,2278788663192960308.090716798,1715636720798031204
0x4F1D03F5118ab83518C7462C57FeD1ec575dAd88,26143399248914280448,0,0,26143399248914280448,61804726356771348.57683215130,46531062651496172
0x72B82453Dd27c774F5488dc90685C26670C71144,2508984720068769218560,0,0,2508984720068769218560,5931405957609383495.413711584,4465590877820330367
0x4150668821899880b9F077F876f8f0949f76c693,31504505931652141056,0,0,31504505931652141056,74478737427073619.51773049645,56072973730492147
0x1B359565f5Ca6440aC33bA085be9aF8a4fA05648,345206783119353577472,0,0,345206783119353577472,816091685861355975.1111111111,614412773951542382
0x1E62FAc7476E11F0d94c9895f41C8dCc0Dc3e025,16978480297354282926080,0,0,16978480297354282926080,40138251293981756326.43026005,30218975081298765644
0xC8575736338F0A692922AdB8b1C85f519538Ff05,1225079267496900096,0,0,1225079267496900096,2896168481080142.070921985816,2180444845989744
0xdb370a202cBE3cb60ed4ff37d3dd371239963D9d,340198990925201798070272,0,244047363116740980506624,584246354041942778576896,1971943666245304224224.199441,1484621641225475934133
0xCdd60e7B7ADe44053a67349A6E856c0aE33d2B91,1025015253313446739968,0,0,1025015253313446739968,2423203908542427281.248226950,1824362949766295471
0x7dDC43b42e932b96168bcbB489f14b8c9D7b493B,1886052853239773440,0,0,1886052853239773440,4458753790164949.030732860520,3356871944713831
0x864F9DD39972c263712bf42cf91Af305bA61491E,10000000000000000,0,0,10000000000000000,23640661938534.27895981087470,17798398061578
0x5B7b61094eD25b9B0D131b7F72Ebf38001Cdb490,92124991909806866432,0,0,92124991909806866432,217789578982994956.1040189125,163967727743048728
0x3933F408595C3E960C6e216919e02a820E85474C,62561593339185895309312,31496331969178521042944,0,94057925308364416352256,296818575124214982021.7494090,223466464935161085438
0x2f2E3Cdd4122635DfA58F336BFa51764F39BDFF2,96126079156893057024,44846573808384622592,0,140972652965277679616,439288952183598823.1867612293,330728456561245912
0x74726c43FafD8f9C3d50A9F63820bfB8860F3481,9488374250203271659520,0,0,9488374250203271659520,22431144799534921180.89834515,16887786186235397638
0xbe16f5bA8f1d33639ca2dE998196290278B625c5,29586530798646632448,0,0,29586530798646632448,69944517254483764.65248226950,52659285241547950
0x13EA4c79EeAD7001eA105D8c4b2e82E5a44Bbf81,39884585965739757797376,0,19942292982869878898688,59826878948609636696064,189707471111943264150.9903967,142825488342278068488
0x81F25ED76e05782E2e32c6D698De7BCCaBC7e071,154048936213690155008,0,0,154048936213690155008,364181882301867978.7423167849,274182428769404935
0xb9d7671A231049B9f733f003a681a1E9D3625B06,13211258813541156651008,3310466030546186141696,0,16521724844087342792704,46884611996769571948.93617021,35298122761994206822
0xEc6DBC4cE67F8772fd871bEFC29EF44797670B2A,100000000000000,0,0,100000000000000,236406619385.3427895981087470,177983980615
0x2fF7355a2eF1670dF3fca6117d56d8d369D70FC3,20000000000000000,0,0,20000000000000000,47281323877068.55791962174941,35596796123157
0x396bF700eF10e1ceb3077A4004A2fe7bfE94D2aa,8924859366665767354368,4462429683332883677184,0,13387289049998651031552,42197916627261311368.17021276,31769639930305829138
0x4718061c22522D66B07051194Eb0b89AcC2684fa,725634492609055162368,0,0,725634492609055162368,1715447973071052393.304964539,1291513154666786619
0x0700062571251291f25B8237C713dCEE1a93E465,132926777513987194880,132926777513987194880,0,265853555027974389760,942743102936079396.3120567375,709765109771067675
0x28de0b196342ebC76E57f7a35b831423E1Ca2C47,400000000000000000000,0,200000000000000000000,600000000000000000000,1902564276584433359.349372787,1432387824860089589
0x70ad955d5F34991E81Dad7Ce2bBE418F8D5EDC07,16358330675046477824,8179165337523238912,0,24537496012569716736,77344353073505805.31442080379,58230416195483094
0x33b6372832929aF501B0f7fF095E3371cE3fde20,20120782381550843985920,3596862326000646094848,0,23717644707551490080768,64573302679792284103.11111111,48615446903896021144
0x206eEe77456933161403a4d04d39eFF994aBAa0b,32517580583911510016,0,11845181044961318912,44362761628872828928,133549220356489231.5441084982,100545500413585114
0x812598ec97C1cC0BC5CfC277c79ABb98248c376d,10681379411654225166336,0,8076829820210898796544,18758209231865123962880,63896606727803717473.75587906,48105981308073606006
0x0c6Bf638c13742827397a6878b65c50300ea9E99,796502006797113856,0,0,796502006797113856,1882983467605470.108747044917,1417645977382153
0x7F5Fc3052a350Ee429F13F1b15222af339502C7B,27666327184066589229056,7782038346576798154752,3873912871165268852736,39322278401808656236544,120735004635853806850.8870112,90898033145714139590
0xFf57df354C06b5BCF0F68C382190b91A0396d06a,126121032847429238784,0,0,126121032847429238784,298158470088485198.0709219858,224475234655602553
0xe3a42e6AB8dD4a3B7feD250Bb06Fd657d0a58edb,58802612339280306176,0,0,58802612339280306176,139013267941561007.5082742317,104659230147522779
0x13dE233D5D4982131D8CEFF4B7756854aa156f83,100000000000000,0,0,100000000000000,236406619385.3427895981087470,177983980615
0xa1E84210239baD5571171a8fe304A90E7Ffe5189,169923826616587,0,0,169923826616587,401711174034.4846335697399527,302437190626
0x2CC38c492494209a4eD5C9674242B63dde3293D2,52488625990995320832,0,0,52488625990995320832,124086586267128418.0425531915,93421345909307606
0xB01534BFA3E9C7f7Fb6b77bd3C0B6f77a9fF1690,279736522817333624832,0,0,279736522817333624832,661315656778566488.9645390071,497886198546487956
0xaad87D1DBeDFCdC2060A5e2Ea1FbaeDeA40c105a,14591505834623539085312,84492246053790121984,0,14675998080677329207296,34894776186125577610.59101655,26271308241924668568
0xbE5F66AC125f3a6DbA2274232fb5564c9d834375,73345920545469906944,0,0,73345920545469906944,173394611218604980.9550827423,130543989006121869
0x64852aF18feAD6E2677b26E6bCdA95Ca166A4f9D,50999126538147774464,23886370499620851712,0,74885497037768626176,233503232948911295.2434988180,175798101571601031
